id,restaurant_name,rating,number_of_ratings,full_address,url
989,Restaurace Bobová dráha,0,5,"Praha, Prosecká 430/36, 19000",https://www.restu.cz/restaurace-bobova-draha/
990,2 Pazzi Restaurant,4.7,24,"Praha, Donská 179/11, 10100",https://www.restu.cz/2-pazzi-restaurant/
991,U Šebestiána,4.1,49,"Praha, Kolbenova 760/10, 19000",https://www.restu.cz/restaurace-a-vinarna-u-sebestiana/
992,Panoramatický restaurant Letem Světem,4.5,76,"Praha, Edisonova 429, 10900",https://www.restu.cz/panoramaticky-restaurant-letem-svetem/
993,Santoška,0,1,"Praha, U Nikolajky 2105/18, 15000",https://www.restu.cz/klub-santoska/
994,Botanic restaurant café,4.6,214,"Praha, Olbrachtova 1066/54, 14000",https://www.restu.cz/botanic-restaurant-cafe/
995,Club Restaurant JUVE,0,2,"Praha, Koněvova 14/202, 13000",https://www.restu.cz/club-restaurant-juve/
996,Restaurace Nad ledem,3.7,17,"Praha, Vladivostocká 1460/10, 10000",https://www.restu.cz/restaurace-nad-ledem/
997,U Černého koně,0,1,"Praha, Modřanská 8/94, 14700",https://www.restu.cz/restaurace-u-cerneho-kone-2/
998,Restaurace Castle Residence,0,1,"Praha, Květinářská 755, 18200",https://www.restu.cz/restaurace-castle-residence/
999,Restaurace Altán,0,1,"Praha, U trojského zámku 717/11, 17100",https://www.restu.cz/restaurace-altan/
1000,Restaurace Loděnice,0,2,"Praha, Vodácká 789/8, 17100",https://www.restu.cz/restaurace-lodenice/
1001,Klášterní pivovar Strahov,4.6,21,"Praha, Strahovské nádvoří 301/10, 11800",https://www.restu.cz/klasterni-pivovar-strahov/
1002,"Airest Czech Republic, a.s.",0,1,"Praha, Aviatická 1017/2, 16100",https://www.restu.cz/airest-czech-republic-a-s/
1003,Akademická restaurace při Masarykově koleji,0,1,"Praha, Thákurova 550/1, 16000",https://www.restu.cz/akademicka-restaurace-pri-masarykove-koleji/
1004,FAMA Bar Restaurant,4.0,32,"Praha, Vladislavova 1761/18, 11000",https://www.restu.cz/fama-bar-restaurant/
1005,Apetit Vodičkova,0,2,"Praha, Vodičkova 699/30, 11000",https://www.restu.cz/apetit-centrum-s-r-o/
1006,Apetit Dlouhá,0,1,"Praha, Dlouhá 736/23, 11000",https://www.restu.cz/apetit-praha-v-o-s/
1007,Apetit Vinohradská,0,1,"Praha, Vinohradská 1983/106, 13000",https://www.restu.cz/apetit-vinohradska-s-r-o/
