id,restaurant_name,rating,number_of_ratings,full_address,url
0,Sushi bar Engawa,4.6,144,"Praha, Petrské nám. 1664/5, 11000",https://www.restu.cz/sushi-bar-engawa/
1,Sia Restaurant,4.7,96,"Praha, V Celnici 1034/6, 11000",https://www.restu.cz/sia/
2,Bruxx,4.6,3656,"Praha, Náměstí Míru 9, 12000",https://www.restu.cz/bruxx/
3,Café Restaurant Palanda,4.7,3740,"Praha, Zlatnická 1122/11, 11000",https://www.restu.cz/cafe-restaurant-palanda/
4,Vinohradský parlament,4.4,1818,"Praha, Korunní 1, 12000",https://www.restu.cz/vinohradsky-parlament/
5,Ristorante Pizzeria La Scala,4.4,1775,"Praha, Celetná 601/5, 11000",https://www.restu.cz/ristorante-pizzeria-la-scala/
6,Maitrea,4.7,1758,"Praha, Týnská ulička 1064/6, 11000",https://www.restu.cz/maitrea/
7,Meat & Greet burgerhouse,4.8,1448,"Praha, Senovážné náměstí 994/2, 11000",https://www.restu.cz/meat-greet-burgerhouse/
8,Etnosvět,4.8,759,"Praha, Legerova 40, 12000",https://www.restu.cz/etnosvet/
9,Potrefená Husa Hybernská,4.4,1302,"Praha, Dlážděná 1003/7, 11000",https://www.restu.cz/potrefena-husa-praha-hybernska/
10,Golden Pacific Café,4.1,2188,"Praha, Radlická 117, OC Galerie Butovice, 15800",https://www.restu.cz/golden-pacific-cafe/
11,Momoichi Coffetearia,4.7,512,"Praha, Římská 35, 12000",https://www.restu.cz/kavarna-momoichi/
12,George Prime Steak,4.8,755,"Praha, Platnéřská 111/19, 11000",https://www.restu.cz/george-prime-steak/
13,Oblaca (Žižkovská věž),4.6,264,"Praha, Mahlerovy sady 2699/1 , 13000",https://www.restu.cz/oblaca-zizkovska-vez/
14,Lehká Hlava,4.7,776,"Praha, Boršov 280/2, 11000",https://www.restu.cz/lehka-hlava/
15,Šenkovna Pub,4.6,845,"Praha, Sokolská 60, 12800",https://www.restu.cz/senkovna-pub/
16,Las Adelitas Lucemburská,4.6,1173,"Praha, Lucemburská 1497/6, 13000",https://www.restu.cz/las-adelitas/
17,T.G.I. Friday's Anděl,4.6,1403,"Praha, Nádražní 58/110, 15000",https://www.restu.cz/t-g-i-fridays-andel/
18,Podolka - Podolí,4.5,2077,"Praha, Podolské nábřeží - Přístav 1, 14700",https://www.restu.cz/podolka-podoli/
19,Restaurace Vabene,4.5,4161,"Praha, Malá Štupartská 636/5, 11000",https://www.restu.cz/restaurace-vabene/
20,Las Adelitas Americká,4.5,1206,"Praha, Americká 684/8, 12000",https://www.restu.cz/las-adelitas-americka/
21,Kolkovna Celnice,4.2,698,"Praha, V Celnici 1031/4, 11000",https://www.restu.cz/kolkovna-celnice/
22,Las Adelitas Malé Náměstí,4.5,748,"Praha, Malé náměstí 457/13, 11000",https://www.restu.cz/las-adelitas-male-namesti/
23,Café Lounge,4.7,1003,"Praha, Plaská 615/8, 15000",https://www.restu.cz/cafe-lounge/
24,Kavárna Cafedu,4.7,137,"Praha, Škrétova 490/12, 12000",https://www.restu.cz/kavarna-cafedu/
25,La Piccola Perla,4.6,321,"Praha, Perlová 412/1, 11000",https://www.restu.cz/la-piccola-perla/
26,Kavárna Slavia,4.3,404,"Praha, Smetanovo nábřeží 2, 11000",https://www.restu.cz/kavarna-slavia-1/
27,U Modré kachničky II,4.7,537,"Praha, Michalská 434/16, 11000",https://www.restu.cz/u-modre-kachnicky-ii/
28,Kolkovna Budějovická,4.4,840,"Praha, Budějovická 1518/13a, 14000",https://www.restu.cz/kolkovna-budejovicka/
29,Podolka Karlín,4.5,824,"Praha, Šaldova 34, 18600",https://www.restu.cz/podolka-karlin/
30,Agave restaurant,4.6,447,"Praha, Masná 620/2, 11000",https://www.restu.cz/agave/
31,Pastař,4.7,767,"Praha, Malostranské nábřeží 558/1, 11800",https://www.restu.cz/pastar/
32,Malešický mikropivovar,4.6,1032,"Praha, Malešická 126/50, 10800",https://www.restu.cz/malesicky-mikropivovar/
33,KOBE RESTAURANT Anděl Praha,4.6,448,"Praha, Radlická 3185/1c, 15000",https://www.restu.cz/kobe-restaurant-andel/
34,Vinárna Koštovna u Počtů,4.7,495,"Praha, Milady Horákové 47, 17000",https://www.restu.cz/restaurace-a-vinarna-u-poctu/
35,La Finestra in Cucina,4.8,459,"Praha, Platnéřská 90/13, 11000",https://www.restu.cz/la-finestra-in-cucina/
36,Creperie U Slepé kočičky,4.6,140,"Praha, Milady Horákové 600/38, 17000",https://www.restu.cz/creperie-u-slepe-kocicky/
37,Bejzment,4.5,926,"Praha, Lesnická 8, 15000",https://www.restu.cz/restaurace-bejzment/
38,BeefHouse Grill&Bar (Butcher's Grill & Pasta Praha),4.6,493,"Praha, Mlynářská 3, 11000",https://www.restu.cz/butcher-s-grill-pasta-praha/
39,BEEF BAR,4.6,288,"Praha, Na Perštýně 10, 11000",https://www.restu.cz/beef-bar-prague/
40,Bad Jeff's barbeque,4.7,159,"Praha, Americká 32, 12000",https://www.restu.cz/bad-jeffs-barbeque/
41,Spižírna 1902,4.5,28,"Praha, Korunní 86, 13000",https://www.restu.cz/spizirna-1902/
42,El Barrio de Ángel,4.5,214,"Praha, Lidická 284/42, 15000",https://www.restu.cz/el-barrio-de-angel/
43,Tom's burger Máneska,4.3,1175,"Praha, Anny Letenské 916/16, 12000",https://www.restu.cz/toms-burger-manesova/
44,Potrefená Husa Pankrác,4.2,617,"Praha, Na Pankráci 129, 14000",https://www.restu.cz/potrefena-husa-pankrac/
45,La Casa Blů,4.5,616,"Praha, Kozí 857/15, 11000",https://www.restu.cz/la-casa-blu/
46,Planet Sushi,4.6,445,"Praha, Nádražní 58/110, 15000",https://www.restu.cz/planet-sushi/
47,T.G.I. Friday's (Na Příkopě),4.5,238,"Praha, Na příkopě 959/27, 11000",https://www.restu.cz/t-g-i-fridays-na-prikope/
48,Potrefená Husa Na Verandách,4.3,479,"Praha, Nádražní 43/84, 15000",https://www.restu.cz/potrefena-husa-na-verandach/
49,Gran Fierro,4.6,354,"Praha, Voršilská 14, 11000",https://www.restu.cz/gran-fierro/
50,La Bottega Bistroteka,4.7,301,"Praha, Dlouhá 39, 11000",https://www.restu.cz/la-bottega-bistroteka/
51,George Prime Burger,4.6,73,"Praha, Vodičkova 700/32, 11000",https://www.restu.cz/george-prime-burger/
52,U Modré kachničky I,4.7,346,"Praha, Nebovidská 460/6, 11800",https://www.restu.cz/u-modre-kachnicky-i/
53,Jiná Krajina Kodaňská,4.7,507,"Praha, Kodaňská 319/5, 10100",https://www.restu.cz/jina-krajina-kodanska/
54,KOBE RESTAURANT Václavské náměstí Praha,4.5,412,"Praha, Václavské náměstí 837/11, 11000",https://www.restu.cz/kobe-restaurant-vaclavske-namesti/
55,Figo restaurant,4.7,504,"Praha, Čimická 442/33, 18200",https://www.restu.cz/figo-restaurant/
56,Café Amandine,4.4,491,"Praha, Na Moráni 1689/17, 12800",https://www.restu.cz/cafe-amandine-1/
57,La Boca,4.5,669,"Praha, Truhlářská 1114/10, 11000",https://www.restu.cz/la-boca/
58,Bernard Pub Anděl,4.3,369,"Praha, Radlická 112/22, 15000",https://www.restu.cz/bernard-pub-andel/
59,The Craft,4.4,193,"Praha, Náměstí Míru 1221/4, 12000",https://www.restu.cz/the-craft/
60,Restaurant Sova,4.5,43,"Praha, Balbínova 4, 12000",https://www.restu.cz/restaurant-sova/
61,Charleston restaurant,4.4,208,"Praha, Křižíkova 208/55, 18600",https://www.restu.cz/charleston-restaurant/
62,Králík v rádiu,4.3,152,"Praha, Křižíkova 65a, 18600",https://www.restu.cz/kralik-v-radiu/
63,Vinárna Na břehu Rhôny Francouzská,4.8,43,"Praha, Francouzská 246/84, 12000",https://www.restu.cz/vinarna-na-brehu-rhony-francouzska/
64,Rest.,4.7,315,"Praha, Podolské nábřeží 6/34  , 14700",https://www.restu.cz/restaurace-rest/
65,Kolkovna Olympia,4.0,354,"Praha, Vítězná 619/7, 15000",https://www.restu.cz/kolkovna-olympia/
66,Pizzerie Al Mulino,4.5,313,"Praha, Národních hrdinů 3, 19012",https://www.restu.cz/pizzerie-al-mulino/
67,Restaurant Pod Věží,4.8,151,"Praha, Mostecká 58/2, 11800",https://www.restu.cz/restaurace-pod-vezi-7/
68,Grand Cru Restaurant & Bar,4.8,254,"Praha, Lodecká 4, 11000",https://www.restu.cz/grand-cru/
69,SOHO restaurant & garden,4.8,52,"Praha, Podolské nábřeží 1108/1, 14700",https://www.restu.cz/soho-restaurant-garden/
70,Bistro Café Záhorský,4.4,160,"Praha, Eliášova 1, 16000",https://www.restu.cz/cafe-zahorsky/
71,Aromi,4.7,597,"Praha, Náměstí Míru 6, 12000",https://www.restu.cz/aromi/
72,U Tří růží,4.5,355,"Praha, Husova 232/10, 11000",https://www.restu.cz/u-tri-ruzi/
73,NOLA Restaurant & Café,4.5,114,"Praha, Na Strži 1863/40, 14000",https://www.restu.cz/nola-restaurant-a-cafe/
74,Pizzeria Ristorante Cerreto,4.6,825,"Praha, Sokolovská 972/195, 19000",https://www.restu.cz/pizzeria-ristorante-cerreto/
75,Café Buddha,4.7,589,"Praha, Balbínova 19, 12000",https://www.restu.cz/cafe-buddha/
76,Kolkovna Savarin,4.1,389,"Praha, Na Příkopě 852/10, 11000",https://www.restu.cz/kolkovna-palac-savarin/
77,Kravín,4.2,613,"Praha, Náměstí Míru 109/18, 12000",https://www.restu.cz/kravin-restaurace/
78,Zelená zahrada,4.7,864,"Praha, Šmilovského 1427/12, 12000",https://www.restu.cz/zelena-zahrada/
79,Dish - fine burger bistro,4.7,911,"Praha, Římská 1196/29, 12000",https://www.restu.cz/dish-fine-burger-bistro/
80,La Bottega Tusarova,4.6,390,"Praha, Tusarova 39, 17000",https://www.restu.cz/la-bottega-tusarova/
81,Potrefená Husa Anděl,4.2,271,"Praha, Nádražní 23, 15000",https://www.restu.cz/potrefena-husa-praha-andel/
82,Jáma,4.1,774,"Praha, V Jámě 1671/7, 11000",https://www.restu.cz/jama/
83,Prostor Bar & Restaurant,4.4,215,"Praha, Lidická 25, 15000",https://www.restu.cz/prostor-bar-restaurant/
84,Kitchen Ramen Bar,4.4,169,"Praha, 28. října 9, 11000",https://www.restu.cz/kitchen-ramen-bar/
85,PUTICA restaurant by Retro,4.5,706,"Praha, Francouzská 75/4, 12000",https://www.restu.cz/putica/
86,Lavande restaurant,4.6,367,"Praha, Lidická 2, 15000",https://www.restu.cz/lavande-restaurant/
87,CottoCrudo,4.7,181,"Praha, Veleslavínova 1098/2a, 11000",https://www.restu.cz/cottocrudo/
88,Vinárna Na břehu Rhôny Karlín,4.7,231,"Praha, Rohanské nábřeží 7, 18600",https://www.restu.cz/na-brehu-rhony-1/
89,XL Restaurant Grill & Bar,4.6,352,"Praha, Klecandova 2380/1, 14900",https://www.restu.cz/xl-restaurant-grill-bar/
90,Jam and Co.,4.4,225,"Praha, Krymská 152/1, 10100",https://www.restu.cz/jam-and-co/
91,Jiná krajina Řeznická,4.4,682,"Praha, Řeznická 1890/4, 11000",https://www.restu.cz/jina-krajina/
92,Modrý Zub Spálená,4.5,1024,"Praha, Spálená 97/29, 11000",https://www.restu.cz/modry-zub-spalena/
93,Kavárna Monolok cafe,4.4,283,"Praha, Moravská 1540/18, 12000",https://www.restu.cz/monolok-cafe/
94,Cukrárna Alchymista,4.6,169,"Praha, Jana Zajíce 7, 17000",https://www.restu.cz/cukrarna-alchymista/
95,Pizza Nuova,4.6,569,"Praha, Revoluční 1, 11000",https://www.restu.cz/pizza-nuova/
96,Kolonial,4.2,120,"Praha, Široká 25/6, 11000",https://www.restu.cz/kolonial/
97,Alforno Focacceria Italiana,4.3,271,"Praha, Petrské nám. 1426/4, 11000",https://www.restu.cz/alforno-focacceria-italiana/
98,Století,4.4,227,"Praha, Karoliny Světlé 320/21, 11000",https://www.restu.cz/restaurace-stoleti/
99,Potrefená Husa Národní,4.3,290,"Praha, Národní třída 364/39, 11000",https://www.restu.cz/potrefena-husa-narodni/
100,Potrefená Husa Národní,4.3,290,"Praha, Národní třída 364/39, 11000",https://www.restu.cz/potrefena-husa-narodni/
101,Zdenek's Oyster Bar,4.8,162,"Praha, Malá Štupartská 7, 11000",https://www.restu.cz/zdeneks-oyster-bar/
102,Kolkovna Argentinská,4.4,374,"Praha, U garáží 1611/1, 17000",https://www.restu.cz/kolkovna-argentinska/
103,Raclettka,4.7,63,"Praha, Lublaňská 30, 12000",https://www.restu.cz/raclettka/
104,Hombre del Mundo,4.4,404,"Praha, Nádražní 29/21, 15000",https://www.restu.cz/hombre-del-mundo/
105,Demínka,4.3,95,"Praha, Škrétova 386/1, 12000",https://www.restu.cz/deminka/
106,Restaurace Hajnovka,4.3,494,"Praha, Vinohradská 35/25, 12000",https://www.restu.cz/restaurace-hajnovka/
107,Ristorante Bianco e Nero,4.6,121,"Praha, Atrium Palace Florentinum 2116/15, 11100",https://www.restu.cz/bianco-e-nero/
108,Holešovická Sedma,4.1,79,"Praha, Dukelských hrdinů 696/43, 17000",https://www.restu.cz/holesovicka-sedma/
109,COMO restaurant & cocktail bar,4.2,57,"Praha, Václavské náměstí 818/45, 11000",https://www.restu.cz/como-restaurant-cocktail-bar/
110,Potrefená Husa Albertov,4.4,441,"Praha, Na slupi 2102/2b, 12800",https://www.restu.cz/potrefena-husa-praha-albertov/
111,Café Savoy,4.7,371,"Praha, Vítězná 124/5, 15000",https://www.restu.cz/cafe-savoy/
112,Tradice,4.5,85,"Praha, Radlická 806/18 , 15000",https://www.restu.cz/restaurace-tradice/
113,Jelica,4.6,635,"Praha, Na Zlíchově 35, 15000",https://www.restu.cz/jelica/
114,Lets meat,4.3,27,"Praha, Slezská 2130/107, 13000",https://www.restu.cz/lets-meat/
115,Brasileiro Slovanský dům,4.7,428,"Praha, Na Příkopě 22, 11000",https://www.restu.cz/brasileiro-slovansky-dum/
116,La Bottega di Finestra,4.7,181,"Praha, Platnéřská 89/11, 11000",https://www.restu.cz/la-bottega-di-finestra/
117,Potrefená Husa Vinohrady,4.4,329,"Praha, Vinohradská 1666/104, 13000",https://www.restu.cz/potrefena-husa-vinohrady/
118,Želivárna,4.3,580,"Praha, Vinohradská 2396/184, 13000",https://www.restu.cz/zelivarna/
119,Sabroso Mexican,4.6,209,"Praha, Nad Primaskou 35, 10000",https://www.restu.cz/sabroso-mexican/
120,Restaurace Le Grill,4.4,203,"Praha, Hybernská 12, 11000",https://www.restu.cz/restaurace-le-grill-the-mark-prague/
121,Léta Páně,4.4,198,"Praha, Národních hrdinů 3, 19012",https://www.restu.cz/restaurace-leta-pane/
122,Na Pekařce,4.5,87,"Praha, Pod Pekařkou 224/46, 14000",https://www.restu.cz/restaurace-na-pekarce/
123,Šnyt Vysočany,4.3,269,"Praha, Kovářská 16, 19000",https://www.restu.cz/snyt-vysocany/
124,Serial Burgers,4.4,60,"Praha, Ostrovní 24, 11000",https://www.restu.cz/serial-burgers/
125,Na břehu Rhôny Za rohem,5.0,23,"Praha, Rašínovo nábř. 410/32, 12800",https://www.restu.cz/na-brehu-rhony-za-rohem/
126,Modrý zub - Anděl,4.5,318,"Praha, Stroupežnického 14, 15000",https://www.restu.cz/modry-zub-andel/
127,U Kalendů,4.3,45,"Praha, Rašínovo nábřeží 383/58, 12800",https://www.restu.cz/restaurace-u-kalendu/
128,Monarch Pohostinec,4.6,92,"Praha, Na Perštýně 349/15, 11000",https://www.restu.cz/monarch-pohostinec/
129,La Bottega Gastronomica,4.6,232,"Praha, Ondříčkova 17, 13000",https://www.restu.cz/gastronomica-la-bottega-di-aromi/
130,Kolkovna Stodůlky,4.2,277,"Praha, Siemensova 2717/4, 15500",https://www.restu.cz/kolkovna-stodulky/
131,Restaurant Čistý stůl,4.5,75,"Praha, Vítězná 15, 15000",https://www.restu.cz/restaurant-cisty-stul/
132,Za Větrem,4.4,140,"Praha, U Michelského lesa 1157, 14000",https://www.restu.cz/za-vetrem/
133,Lemon Leaf,4.4,604,"Praha, Myslíkova 260/14, 12000",https://www.restu.cz/lemon-leaf/
134,Bernard PUB U Bílého Lva,4.6,322,"Praha, Bělohorská 241/79, 16900",https://www.restu.cz/u-bileho-lva-1/
135,AvantGarde Restaurant,4.7,196,"Praha, Evropská 2690/17, 16000",https://www.restu.cz/avantgarde-restaurant/
136,Plachta,4.4,312,"Praha, Jindřicha Plachty 1219/27, 15000",https://www.restu.cz/plachta/
137,Pizzeria Kmotra,4.4,388,"Praha, V Jirchářích 1285/12, 11000",https://www.restu.cz/pizzeria-kmotra/
138,Tapas bar Miró,4.4,274,"Praha, Štefánikova 46, 15000",https://www.restu.cz/tapas-bar-miro/
139,Gin & Tonic Club,5.0,49,"Praha, Navrátilova 11, 11000",https://www.restu.cz/gin-tonic-club/
140,Lokál U Bílé kuželky,4.4,195,"Praha, Míšeňská 12, 11000",https://www.restu.cz/lokal-u-bile-kuzelky/
141,Restaurace Selský dvůr,4.4,208,"Praha, K Horkám 47/56, 10200",https://www.restu.cz/restaurace-selsky-dvur-2/
142,U Saní,3.9,59,"Praha, Karlínské náměstí 235/13, 18000",https://www.restu.cz/u-sani/
143,Babiččina Beseda,4.7,76,"Praha, Slavětínská 120, 19014",https://www.restu.cz/babiccina-beseda/
144,Sushi Maru,4.6,111,"Praha, Václavské náměstí 1, 11000",https://www.restu.cz/sushi-maru/
145,Cihelna La Familia,4.2,299,"Praha, Křižíkova 179/26, 18600",https://www.restu.cz/cihelna-la-familia/
146,Pizzeria Corleone OC Arkády,4.2,347,"Praha, Na Pankráci 86, 14000",https://www.restu.cz/pizzeria-corleone-oc-arkady/
147,Kavárna Zanzibar,4.2,138,"Praha, Americká 152/15, 12000",https://www.restu.cz/kavarna-zanzibar/
148,Cacao,4.5,466,"Praha, V Celnici 1031/4, 11000",https://www.restu.cz/cacao/
149,Potrefená Husa Dejvice,4.4,204,"Praha, Verdunská 23, 16000",https://www.restu.cz/potrefena-husa-dejvice/
150,Bistro à Table!,4.5,293,"Praha, Mařákova 10, 16000",https://www.restu.cz/bistro-a-table/
151,San Carlo Malá Strana,4.6,129,"Praha, Tržiště 7, 11800",https://www.restu.cz/san-carlo-mala-strana/
152,Počernický Pivovar,4.5,70,"Praha, Národních hrdinů 3, 19012",https://www.restu.cz/pocernicky-pivovar/
153,Incruenti,4.6,83,"Praha, Šrobárova 9, 13000",https://www.restu.cz/incruenti/
154,Pasta Fresca,4.8,269,"Praha, Celetná 11, 11000",https://www.restu.cz/pasta-fresca/
155,NOI restaurant,4.4,286,"Praha, Újezd 409/19, 11800",https://www.restu.cz/noi-restaurant/
156,Jáma Steakhouse,4.2,460,"Praha, Ostrovní 1447/26, 11000",https://www.restu.cz/jama-steakhouse/
157,Gourmet restaurant Le terroir,3.4,13,"Praha, Vejvodova 1 (vchod z Jílské ulice), 11000",https://www.restu.cz/le-terroir-restaurant/
158,SaSaZu,4.8,322,"Praha, Bubenské nábřeží 306/13, 17000",https://www.restu.cz/sasazu/
159,Katr restaurant,4.6,111,"Praha, Vězeňská 9, 11000",https://www.restu.cz/katr-restaurant/
160,Guston,4.3,314,"Praha,  Prokopovo náměstí 3, 13000",https://www.restu.cz/guston/
161,Ristorante da Emanuel,4.6,337,"Praha, Charlese de Gaulla 626/4, 16000",https://www.restu.cz/ristorante-da-emanuel/
162,Samurai,4.6,192,"Praha, Londýnská 379/73, 12000",https://www.restu.cz/restaurace-samurai/
163,Argument,4.7,202,"Praha, Bubenečská 352/19, 16000",https://www.restu.cz/argument-restaurant-cafe/
164,Kavárna Velryba,4.5,115,"Praha, Opatovická 156/24, 11000",https://www.restu.cz/kavarna-velryba/
165,Augustine Restaurant,4.8,157,"Praha, Letenská 12/33, 11800",https://www.restu.cz/augustine-restaurant/
166,KOBE RESTAURANT Centrum Chodov Praha,4.4,201,"Praha, Roztylská 2321/19, 14800",https://www.restu.cz/kobe-restaurant-centrum-chodov/
167,Casa De Carli,4.6,112,"Praha, Vězeňská 116/5, 11000",https://www.restu.cz/casa-de-carli/
168,ROOM tapas bar,4.2,85,"Praha, V Jámě 1263/6, 11000",https://www.restu.cz/room-tapas-bar/
169,Baráčnická rychta,4.5,47,"Praha, Tržiště 555/23, 11800",https://www.restu.cz/baracnicka-rychta-restaurace/
170,Kampárium,4.5,206,"Praha, Říční 540/9, 11800",https://www.restu.cz/restaurace-kamparium/
171,U Vodárny Vinohrady,3.8,53,"Praha, Korunní 972/75, 13000",https://www.restu.cz/restaurace-u-vodarny-vinohrady/
172,KOBE RESTAURANT BB Centrum Praha,4.3,43,"Praha, Vyskočilova 1481/ 4, 14000",https://www.restu.cz/kobe-restaurant-bb-centrum/
173,Porto,4.7,135,"Praha, Urxova 436/10, 18600",https://www.restu.cz/ristorante-porto/
174,Rang De Basanti,4.7,94,"Praha, Národních hrdinů 28, 19012",https://www.restu.cz/rang-de-basanti/
175,Lokál Dlouhááá,4.3,339,"Praha, Dlouhá 33, 11000",https://www.restu.cz/lokal-dlouha/
176,Curry House,4.7,244,"Praha, Novákových 893/7, 18000",https://www.restu.cz/curry-house/
177,Hlučná samota,4.2,150,"Praha, Záhřebská 534/14, 12000",https://www.restu.cz/hlucna-samota/
178,Lokai Koliba,4.0,123,"Praha, Gregorova 2298/8, 14800",https://www.restu.cz/lokai-koliba/
179,Be Friendly (U Karlínského přístavu),4.0,107,"Praha, Sokolovská 65/97, 18600",https://www.restu.cz/u-karlinskeho-pristavu/
180,Vyšehradský restaurant Kandelábr,4.3,147,"Praha, Štětkova 1638/18, 14000",https://www.restu.cz/kandelabr-na-vysehrade/
181,Kalina cuisine & vins,4.8,350,"Praha, Dlouhá 616/12 , 11000",https://www.restu.cz/kalina-cuisine-vins/
182,KOGO Polpo,4.1,73,"Praha, Vladislavova 21, 11000",https://www.restu.cz/kogo-polpo/
183,Restaurace Na Kopečku,4.3,67,"Praha, Pelhřimovská 1021/1, 14000",https://www.restu.cz/na-kopecku/
184,Pizza Coloseum Budějovická,4.1,372,"Praha, Budějovická 1667/64, 14000",https://www.restu.cz/pizza-coloseum-budejovicka/
185,Veltlin Wine Bar,4.8,62,"Praha, Křižíkova 488/115  , 18600",https://www.restu.cz/veltlin-wine-bar/
186,Brasileiro U Radnice,4.7,248,"Praha, U Radnice 13/8, 11000",https://www.restu.cz/brasileiro-u-radnice/
187,Potrefená Husa Budějovická,4.1,98,"Praha, Budějovická 1667/64, 14000",https://www.restu.cz/potrefena-husa-budejovicka/
188,Ristorantino da Matteo,4.7,116,"Praha, Jirečkova 11, 17000",https://www.restu.cz/da-matteo/
189,Ristorante O sole mio,4.1,77,"Praha, Budějovická 778/3a, 14000",https://www.restu.cz/o-sole-mio/
190,Eska,4.7,181,"Praha, Pernerova 49, 18600",https://www.restu.cz/eska/
191,Le Valmont Club & Lounge,0,2,"Praha, Uhelný trh 9, 11000",https://www.restu.cz/le-valmont-club-lounge/
192,Blackdog Cantina,4.5,126,"Praha, Gorazdova 1, 12000",https://www.restu.cz/blackdog-cantina-1/
193,Národní kavárna,4.2,126,"Praha, Národní 339/11, 11000",https://www.restu.cz/narodni-kavarna/
194,Alriso,4.5,69,"Praha, Betlémské náměstí 2, 11000",https://www.restu.cz/alriso/
195,La Bottega Linka,4.6,245,"Praha, Havlíčkova 13, 11000",https://www.restu.cz/la-bottega-linka/
196,Na břehu Rhôny Dejvice,4.9,12,"Praha, Puškinovo nám. 633/13, 16000",https://www.restu.cz/na-brehu-rhony-dejvice/
197,Sakura,4.2,44,"Praha, náměstí Svobody 728/1, 16000",https://www.restu.cz/restaurace-sakura/
198,TRITON Restaurant,4.5,108,"Praha, Václavské náměstí 784/26, 11000",https://www.restu.cz/triton-restaurant/
199,Mezcal Latino Bar & Garden Restaurant,4.3,264,"Praha, Jugoslávská 599/18, 12000",https://www.restu.cz/mezcal-latino-bar-garden-restaurant/
200,Kozlovna l.p. 1874,4.3,176,"Praha, Oblouková 848/25, 10100",https://www.restu.cz/kozlovna-i-p-1874/
201,Restaurace Bruska,4.1,142,"Praha, Dejvická 253/20, 16000",https://www.restu.cz/restaurace-bruska/
202,Café Mozart,4.6,454,"Praha, Staroměstské náměstí 481/22, 11000",https://www.restu.cz/cafe-mozart/
203,Coa Restaurace Praha,4.2,165,"Praha, Revoluční  1/655, 11000",https://www.restu.cz/coa-restaurace-praha/
204,Kavárna Kaaba,4.4,84,"Praha, Mánesova 1624/20, 12000",https://www.restu.cz/kavarna-kaaba/
205,Kofein Restaurant,4.7,269,"Praha, Nitranská 1339/9, 13000",https://www.restu.cz/kofein-restaurant-1/
206,U Českého lva,3.7,83,"Praha, Sokolovská 41/7, 18600",https://www.restu.cz/u-ceskeho-lva/
207,Indian Jewel,4.6,228,"Praha, Týn 642/6, 11000",https://www.restu.cz/indian-jewel/
208,Blue Orange,4.2,120,"Praha, Tupolevova 676, 19900",https://www.restu.cz/restaurace-blue-orange/
209,Historie,4.3,152,"Praha, Londýnská 608/52, 12000",https://www.restu.cz/restaurace-historie/
210,U Houmra,4.4,120,"Praha, Šumavská 47/20, 12000",https://www.restu.cz/restaurace-u-houmra/
211,U Mrtvýho ptáka,4.1,72,"Praha, Křižíkova 226/16, 18600",https://www.restu.cz/restaurace-u-mrtvyho-ptaka/
212,Krystal Bistro,4.6,312,"Praha, Sokolovská 101/99, 18600",https://www.restu.cz/krystal-mozaika-bistro/
213,Bernard PUB Cesta časem,4.2,272,"Praha, Na Kocínce 210/3 , 16000",https://www.restu.cz/cesta-casem/
214,Merlin Irish Pub,4.6,138,"Praha, Bělehradská 994/68, 12000",https://www.restu.cz/merlin-irish-pub/
215,Zubajda,4.3,214,"Praha, Zubatého 289/3, 15000",https://www.restu.cz/zubajda/
216,Kavárna a vinotéka Café no. 22,4.1,25,"Praha, Lidická 22, 15000",https://www.restu.cz/kavarna-a-vinoteka-cafe-no-22/
217,Restaurant Loft N8,4.3,10,"Praha, Nekázanka 883/8, 11000",https://www.restu.cz/restaurant-loft-n8/
218,Deer Prague,4.6,16,"Praha, Michalská 19, 11000",https://www.restu.cz/deer-prague/
219,Krušovická chalupa,4.4,39,"Praha, 5. května 798/62, 14000",https://www.restu.cz/krusovicka-chalupa/
220,Krušovická chalupa,4.4,39,"Praha, 5. května 798/62, 14000",https://www.restu.cz/krusovicka-chalupa/
221,Pavlovín,4.1,18,"Praha, Mírového hnutí 2353/2, 14900",https://www.restu.cz/restaurace-pavlovin/
222,Aloha Cocktail Bar & Music Club,4.3,84,"Praha, Dušní 11, 11000",https://www.restu.cz/aloha-cocktail-bar-music-club/
223,500 Restaurant „Pětistovka“,4.5,344,"Praha, Na valech 283/16, 16000",https://www.restu.cz/500-restaurant-petistovka/
224,Aldente Trattoria Vineria,4.3,47,"Praha, Vězeňská 911/4, 11000",https://www.restu.cz/aldente-trattoria-vineria/
225,Potrefená Husa Bohnice,4.4,208,"Praha, Zhořelecká 514/2, 18100",https://www.restu.cz/potrefena-husa-bohnice/
226,YES Burger Žitná,4.0,165,"Praha, Žitná 41, 11000",https://www.restu.cz/yes-burger-zitna/
227,Café Buddha Norská,4.7,71,"Praha, Norská 14, 10100",https://www.restu.cz/cafe-buddha-norska/
228,Portfolio restaurant,4.8,42,"Praha, Havlíčkova 1030/1, 11000",https://www.restu.cz/portfolio-restaurant/
229,Pizza Coloseum Zlatý Anděl,4.1,814,"Praha, Nádražní 344/25, 15000",https://www.restu.cz/pizza-coloseum-zlaty-andel/
230,Bílá kráva,4.7,347,"Praha, Rubešova 83/10, 12000",https://www.restu.cz/u-bile-kravy/
231,Ristorante Botel Matylda,4.7,105,"Praha, Masarykovo nábřeží - náplavka u Jiráskova náměstí, 11000",https://www.restu.cz/ristorante-botel-matylda/
232,Café bar Platýz,4.3,111,"Praha, Národní 416/37, 11000",https://www.restu.cz/cafe-bar-platyz/
